n,taining_data_set,cross_validation
1,0.838444444444,0.838444444444
2,0.838444444444,0.838444444444
3,0.892814814815,0.892722222222
4,0.910777777778,0.909888888889
5,0.938388888889,0.938074074074
6,0.943092592593,0.941814814815
7,0.956666666667,0.954148148148
8,0.965814814815,0.9615
9,0.973037037037,0.968148148148
10,0.978481481481,0.972740740741
11,0.984148148148,0.976240740741
12,0.988444444444,0.978611111111
13,0.991407407407,0.980055555556
14,0.993240740741,0.98012962963
15,0.995018518519,0.980648148148
16,0.996351851852,0.980092592593
17,0.997537037037,0.980166666667
18,0.998166666667,0.98062962963
19,0.998796296296,0.980611111111
