n,taining_data_set,cross_validation
1,0.824749057232,0.85414351147
2,0.824749057232,0.85414351147
3,0.917876352796,0.871721264676
4,0.91444841246,0.907471442484
5,0.948461726658,0.928651779869
6,0.955927684103,0.930129311442
7,0.963855421687,0.94639363348
8,0.969580325315,0.958755125576
9,0.97596498566,0.964692507282
10,0.982621923803,0.969402683967
11,0.986712524993,0.974370241465
12,0.990974190661,0.977007872005
13,0.99327764874,0.978715588989
14,0.994770434731,0.978976399979
15,0.995644495889,0.979390621817
16,0.996906803549,0.978903883595
17,0.998388916936,0.979506684218
18,0.998502283647,0.980255109187
19,0.999110320285,0.980012159555
