n,taining_data_set,cross_validation
1,0.795592592593,0.795592592593
2,0.795592592593,0.795592592593
3,0.946296296296,0.945962962963
4,0.918703703704,0.915296296296
5,0.957851851852,0.957555555556
6,0.967333333333,0.965703703704
7,0.969925925926,0.969555555556
8,0.97262962963,0.966481481481
9,0.978185185185,0.974592592593
10,0.985666666667,0.978185185185
11,0.988592592593,0.979259259259
12,0.992777777778,0.981666666667
13,0.994555555556,0.983444444444
14,0.995888888889,0.983222222222
15,0.996074074074,0.982592592593
16,0.997814814815,0.982148148148
17,0.998962962963,0.981185185185
18,0.998814814815,0.981777777778
19,0.999296296296,0.981185185185
