mean_score,std dev score, max_features
0.982489088872,0.00202897995596,0.5,5
0.9831613025,0.00207665556988,0.5,10
0.983832533006,0.00152525597987,0.5,15
0.984857019687,0.00183264588576,0.5,20
0.985373529609,0.0017953124859,0.5,30
0.984806431434,0.00194411040565,0.5,35
0.984606005419,0.00194787840153,0.5,40
0.984958415436,0.00192463055882,0.5,50
0.971821823731,0.00283955933285,sqrt,5
0.976159806084,0.00243944289743,sqrt,10
0.977839665693,0.00233196267567,sqrt,15
0.97890889007,0.00194858465619,sqrt,20
0.97983050819,0.00215889029695,sqrt,30
0.979794820507,0.00209998029724,sqrt,35
0.980677657412,0.00181723079331,sqrt,40
0.980799889571,0.00217490634246,sqrt,50
0.962361979719,0.00388174248769,log2,5
0.968674480364,0.00446627315078,log2,10
0.971291282081,0.00346127550993,log2,15
0.971280826349,0.0033311019503,log2,20
0.97292374461,0.00287253862101,log2,30
0.973507985133,0.00246441034873,log2,35
0.973972197989,0.00257708911842,log2,40
0.974413617334,0.00174051608079,log2,50
